"","ID_RELACION","ID_ESCUELA","CODIGO_COMUNA","LATITUD","LONGITUD"
"1",NA,1,15101,"-18.4872750","-70.2947380"
"2",NA,2,15101,"-18.4698620","-70.3027600"
"3",NA,3,15101,"-18.5035800","-70.2608260"
"4",NA,4,15101,"-18.4742430","-70.3082640"
"5",NA,5,15101,"-18.4769040","-70.3134550"
"6",NA,7,15101,"-18.4761460","-70.2883680"
"7",NA,8,15101,"-18.4824910","-70.3175790"
"8",NA,9,15101,"-18.4868490","-70.3024500"
"9",NA,10,15101,"-18.4743640","-70.3090440"
"10",NA,11,15101,"-18.4910160","-70.3115550"
"11",NA,12,15101,"-18.4919260","-70.2939650"
"12",NA,13,15101,"-18.4810550","-70.2847950"
"13",NA,14,15101,"-18.4812370","-70.2897650"
"14",NA,15,15101,"-18.4713850","-70.3003530"
"15",NA,16,15101,"-18.4748350","-70.3087830"
"16",NA,17,15101,"-18.4672650","-70.2909360"
"17",NA,18,15101,"-18.4766740","-70.2877890"
"18",NA,19,15101,"-18.4746590","-70.2919060"
"19",NA,20,15101,"-18.4798270","-70.2951840"
"20",NA,21,15101,"-18.4837920","-70.3000800"
"21",NA,22,15101,"-18.4482860","-70.2906500"
"22",NA,25,15101,"-18.4399990","-70.2933800"
"23",NA,26,15101,"-18.4781210","-70.3040390"
"24",NA,27,15101,"-18.4830190","-70.3085390"
"25",NA,28,15101,"-18.4850650","-70.2943950"
"26",NA,29,15101,"-18.4784520","-70.2830460"
"27",NA,30,15101,"-18.4806180","-70.2840100"
"28",NA,31,15101,"-18.5006580","-70.2545910"
"29",NA,32,15101,"-18.5192640","-70.1787380"
"30",NA,33,15101,"-18.4171140","-70.2258490"
"31",NA,35,15101,"-18.4524000","-70.0677000"
"32",NA,36,15101,"-18.4969530","-70.2839730"
"33",NA,38,15101,"-18.5588180","-70.1007270"
"34",NA,39,15101,"-18.5782130","-69.9651690"
"35",NA,41,15101,"-18.8206430","-70.1403780"
"36",NA,42,15101,"-18.3817480","-69.9448830"
"37",NA,43,15101,"-18.4396360","-70.2907260"
"38",NA,45,15101,"-18.4830610","-70.3143020"
"39",NA,46,15101,"-18.4784010","-70.3001200"
"40",NA,49,15101,"-18.4750180","-70.2902400"
"41",NA,50,15101,"-18.4933210","-70.2707710"
"42",NA,51,15101,"-18.4002610","-70.3149840"
"43",NA,52,15101,"-18.4686220","-70.3033750"
"44",NA,55,15101,"-18.4842200","-70.3081700"
"45",NA,56,15101,"-18.4707500","-70.3048240"
"46",NA,58,15101,"-18.4861090","-70.3029560"
"47",NA,59,15101,"-18.5021500","-70.2461820"
